series,year,gross_er,net_er,fee,is_etf_ever,aum,is_active,is_levinv
S000003024,2022.0,0.0037,,0.0037,True,171716627.3925,False,False
S000003024,2023.0,0.0042,0.0039,0.0039,True,165650412.566667,False,False
S000003024,2024.0,0.004,0.0039,0.0039,True,238635133.27,False,False
S000003024,2025.0,0.0036,,0.0036,True,1200938144.8091667,False,False
S000003025,2011.0,0.008,0.0039,0.0039,True,,,
S000003025,2012.0,0.0061,0.0039,0.0039,True,,,
S000003025,2013.0,0.007,0.0039,0.0039,True,,,
S000003025,2014.0,0.0054,0.0039,0.0039,True,,,
S000003025,2015.0,0.0051,0.0039,0.0039,True,,,
S000003025,2016.0,0.005,0.0039,0.0039,True,,,
S000003025,2017.0,0.0046,0.0039,0.0039,True,,,
S000003025,2018.0,0.0046,0.0039,0.0039,True,,,
S000003025,2019.0,0.0044,0.0039,0.0039,True,74058862.71,False,False
S000003025,2020.0,0.0039,,0.0039,True,72547889.6016667,False,False
S000003025,2021.0,0.0041,0.0039,0.0039,True,116118727.4375,False,False
S000003025,2022.0,0.0036,,0.0036,True,486446110.393333,False,False
S000003025,2023.0,0.0036,,0.0036,True,674914789.869167,False,False
S000003025,2024.0,0.0037,,0.0037,True,667609445.14,False,False
S000003025,2025.0,0.0037,,0.0037,True,765599844.2483333,False,False
S000003026,2011.0,0.0065,0.0063,0.0063,True,,,
S000003026,2012.0,0.0064,0.0063,0.0063,True,,,
S000003026,2013.0,0.0063,,0.0063,True,,,
S000003026,2014.0,0.0059,,0.0059,True,,,
S000003026,2015.0,0.0057,,0.0057,True,,,
S000003026,2016.0,0.0058,,0.0058,True,,,
S000003026,2017.0,0.0058,,0.0058,True,,,
S000003026,2018.0,0.0059,,0.0059,True,,,
S000003026,2019.0,0.0057,,0.0057,True,274483358.029167,False,False
S000003026,2020.0,0.0058,,0.0058,True,225191045.978333,False,False
S000003026,2021.0,0.0059,,0.0059,True,259606657.165833,False,False
S000003026,2022.0,0.0057,,0.0057,True,268405223.5475,False,False
S000003026,2023.0,0.0058,,0.0058,True,245381654.055,False,False
S000003026,2024.0,0.0058,,0.0058,True,243240307.099091,False,False
S000003026,2025.0,0.0058,,0.0058,True,253252944.0275,False,False
S000003027,2011.0,0.0071,0.0063,0.0063,True,,,
S000003027,2012.0,0.0064,0.0063,0.0063,True,,,
S000003027,2013.0,0.0063,,0.0063,True,,,
S000003027,2014.0,0.0061,,0.0061,True,,,
S000003027,2015.0,0.0058,,0.0058,True,,,
S000003027,2016.0,0.0058,,0.0058,True,,,
S000003027,2017.0,0.0059,,0.0059,True,,,
S000003027,2018.0,0.0065,0.0063,0.0063,True,,,
S000003027,2019.0,0.0065,0.0063,0.0063,True,73056823.2133333,False,False
S000003027,2020.0,0.0063,,0.0063,True,68556566.165,False,False
S000003027,2021.0,0.0068,0.0063,0.0063,True,74218737.3766667,False,False
S000003027,2022.0,0.0063,,0.0063,True,134616642.823333,False,False
S000003027,2023.0,0.0057,,0.0057,True,330524569.2175,False,False
S000003027,2024.0,0.0062,,0.0062,True,197493796.69,False,False
S000003027,2025.0,0.0061,,0.0061,True,109083118.9525,False,False
S000003028,2011.0,0.0078,0.0063,0.0063,True,,,
S000003028,2012.0,0.008,0.0063,0.0063,True,,,
S000003028,2013.0,0.0069,0.0063,0.0063,True,,,
S000003028,2014.0,0.0063,,0.0063,True,,,
S000003028,2015.0,0.0063,,0.0063,True,,,
